# Generic CC cross section for A=40 Z=18 Q=4.3 (10^-38 cm^2/GeV) #
# Be aware, these are approximate, accuracy is not guaranteed! #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #
-3.698970  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.696271  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.693572  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.690873  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.688174  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.685475  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.682776  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.680077  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.677378  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.674679  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.671980  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.669281  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.666582  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.663883  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.661184  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.658485  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.655786  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.653088  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.650389  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.647690  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.644991  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.642292  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.639593  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.636894  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.634195  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.631496  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.628797  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.626098  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.623399  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.620700  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.618001  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.615302  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.612603  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.609904  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
-3.607205  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
