# # pES cross section (10^-38 cm^2/GeV) #   From Beacom & Farr & Vogel hep-ph/0205220 #
# log(energy in GeV)  nu_e      nu_mu      nu_tau      nu_e_bar      nu_mu_bar    nu_tau_bar #

-3.301030  1.019448e-03  1.019448e-03  1.019448e-03  1.019357e-03  1.019357e-03  1.019357e-03
-3.298729  1.024854e-03  1.024854e-03  1.024854e-03  1.024762e-03  1.024762e-03  1.024762e-03
-3.296428  1.030289e-03  1.030289e-03  1.030289e-03  1.030196e-03  1.030196e-03  1.030196e-03
-3.294127  1.035753e-03  1.035753e-03  1.035753e-03  1.035659e-03  1.035659e-03  1.035659e-03
-3.291826  1.041245e-03  1.041245e-03  1.041245e-03  1.041150e-03  1.041150e-03  1.041150e-03
-3.289525  1.046767e-03  1.046767e-03  1.046767e-03  1.046671e-03  1.046671e-03  1.046671e-03
-3.287224  1.052318e-03  1.052318e-03  1.052318e-03  1.052221e-03  1.052221e-03  1.052221e-03
-3.284923  1.057898e-03  1.057898e-03  1.057898e-03  1.057800e-03  1.057800e-03  1.057800e-03
-3.282622  1.063508e-03  1.063508e-03  1.063508e-03  1.063409e-03  1.063409e-03  1.063409e-03
-3.280321  1.069147e-03  1.069147e-03  1.069147e-03  1.069047e-03  1.069047e-03  1.069047e-03
-3.278020  1.074817e-03  1.074817e-03  1.074817e-03  1.074715e-03  1.074715e-03  1.074715e-03
-3.275719  1.080516e-03  1.080516e-03  1.080516e-03  1.080414e-03  1.080414e-03  1.080414e-03
-3.273418  1.086246e-03  1.086246e-03  1.086246e-03  1.086142e-03  1.086142e-03  1.086142e-03
-3.271117  1.092005e-03  1.092005e-03  1.092005e-03  1.091901e-03  1.091901e-03  1.091901e-03
-3.268816  1.097796e-03  1.097796e-03  1.097796e-03  1.097690e-03  1.097690e-03  1.097690e-03
-3.266515  1.103617e-03  1.103617e-03  1.103617e-03  1.103510e-03  1.103510e-03  1.103510e-03
-3.264214  1.109469e-03  1.109469e-03  1.109469e-03  1.109361e-03  1.109361e-03  1.109361e-03
-3.261912  1.115351e-03  1.115351e-03  1.115351e-03  1.115242e-03  1.115242e-03  1.115242e-03
-3.259611  1.121265e-03  1.121265e-03  1.121265e-03  1.121155e-03  1.121155e-03  1.121155e-03
-3.257310  1.127210e-03  1.127210e-03  1.127210e-03  1.127099e-03  1.127099e-03  1.127099e-03
-3.255009  1.133187e-03  1.133187e-03  1.133187e-03  1.133075e-03  1.133075e-03  1.133075e-03
-3.252708  1.139195e-03  1.139195e-03  1.139195e-03  1.139082e-03  1.139082e-03  1.139082e-03
-3.250407  1.145235e-03  1.145235e-03  1.145235e-03  1.145121e-03  1.145121e-03  1.145121e-03
-3.248106  1.151308e-03  1.151308e-03  1.151308e-03  1.151191e-03  1.151191e-03  1.151191e-03
-3.245805  1.157412e-03  1.157412e-03  1.157412e-03  1.157294e-03  1.157294e-03  1.157294e-03
-3.243504  1.163548e-03  1.163548e-03  1.163548e-03  1.163430e-03  1.163430e-03  1.163430e-03
-3.241203  1.169717e-03  1.169717e-03  1.169717e-03  1.169597e-03  1.169597e-03  1.169597e-03
-3.238902  1.175919e-03  1.175919e-03  1.175919e-03  1.175798e-03  1.175798e-03  1.175798e-03
-3.236601  1.182153e-03  1.182153e-03  1.182153e-03  1.182031e-03  1.182031e-03  1.182031e-03
-3.234300  1.188421e-03  1.188421e-03  1.188421e-03  1.188297e-03  1.188297e-03  1.188297e-03
-3.231999  1.194721e-03  1.194721e-03  1.194721e-03  1.194596e-03  1.194596e-03  1.194596e-03
-3.229698  1.201055e-03  1.201055e-03  1.201055e-03  1.200929e-03  1.200929e-03  1.200929e-03
-3.227397  1.207422e-03  1.207422e-03  1.207422e-03  1.207295e-03  1.207295e-03  1.207295e-03
-3.225096  1.213823e-03  1.213823e-03  1.213823e-03  1.213694e-03  1.213694e-03  1.213694e-03
-3.222795  1.220258e-03  1.220258e-03  1.220258e-03  1.220128e-03  1.220128e-03  1.220128e-03
-3.220494  1.226727e-03  1.226727e-03  1.226727e-03  1.226596e-03  1.226596e-03  1.226596e-03
-3.218193  1.233231e-03  1.233231e-03  1.233231e-03  1.233097e-03  1.233097e-03  1.233097e-03
-3.215892  1.239768e-03  1.239768e-03  1.239768e-03  1.239634e-03  1.239634e-03  1.239634e-03
-3.213591  1.246340e-03  1.246340e-03  1.246340e-03  1.246204e-03  1.246204e-03  1.246204e-03
-3.211290  1.252947e-03  1.252947e-03  1.252947e-03  1.252810e-03  1.252810e-03  1.252810e-03
-3.208989  1.259589e-03  1.259589e-03  1.259589e-03  1.259450e-03  1.259450e-03  1.259450e-03
-3.206688  1.266266e-03  1.266266e-03  1.266266e-03  1.266126e-03  1.266126e-03  1.266126e-03
-3.204387  1.272979e-03  1.272979e-03  1.272979e-03  1.272837e-03  1.272837e-03  1.272837e-03
-3.202086  1.279727e-03  1.279727e-03  1.279727e-03  1.279583e-03  1.279583e-03  1.279583e-03
-3.199785  1.286510e-03  1.286510e-03  1.286510e-03  1.286365e-03  1.286365e-03  1.286365e-03
-3.197484  1.293330e-03  1.293330e-03  1.293330e-03  1.293183e-03  1.293183e-03  1.293183e-03
-3.195183  1.300185e-03  1.300185e-03  1.300185e-03  1.300037e-03  1.300037e-03  1.300037e-03
-3.192882  1.307077e-03  1.307077e-03  1.307077e-03  1.306927e-03  1.306927e-03  1.306927e-03
-3.190581  1.314005e-03  1.314005e-03  1.314005e-03  1.313854e-03  1.313854e-03  1.313854e-03
-3.188280  1.320970e-03  1.320970e-03  1.320970e-03  1.320817e-03  1.320817e-03  1.320817e-03
-3.185978  1.327972e-03  1.327972e-03  1.327972e-03  1.327817e-03  1.327817e-03  1.327817e-03
-3.183677  1.335010e-03  1.335010e-03  1.335010e-03  1.334854e-03  1.334854e-03  1.334854e-03
-3.181376  1.342086e-03  1.342086e-03  1.342086e-03  1.341928e-03  1.341928e-03  1.341928e-03
-3.179075  1.349200e-03  1.349200e-03  1.349200e-03  1.349040e-03  1.349040e-03  1.349040e-03
